' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02; Ain: 3.300V F.S. x1 Gain
' Test ID: 0
' Run Started: 18/02(Feb)/2014 08:12:20
' Scan Freq (Hz): 250
' Log Time (sec): 30; Delay Time (sec): 10; Clock Adj.: 1.000000
' 
' Time,DateTime,Scan,Trigger,Trigger,GPIO1,GPIO1,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z,Ain
' (Sec),(Serial),Number,(State),(Edge),(State),(Edge),(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec),(ADc)
0.1720,41688.3420159954,43,0,0,0,0,0.05,-0.10,-0.83,0.05,-0.02,-1.01,0.7,-2.0,-1.4,-20
0.1760,41688.3420160417,44,0,0,0,0,0.05,-0.05,-0.88,0.05,-0.01,-1.01,0.0,-2.3,-1.1,-19
0.1800,41688.342016088,45,0,0,0,0,0.10,0.05,-0.88,0.05,-0.02,-1.00,0.0,-2.0,-0.7,-2
0.1840,41688.3420161343,46,0,0,0,0,0.05,0.05,-0.83,0.04,-0.01,-1.00,0.2,-1.9,-0.8,-14
0.1880,41688.3420161805,47,0,0,0,0,0.05,0.00,-0.83,0.05,-0.01,-1.02,-0.6,-1.6,-0.3,-19
0.1920,41688.3420162268,48,0,0,0,0,0.10,0.00,-0.88,0.04,-0.02,-1.01,-0.4,-2.0,-0.5,-18
0.1960,41688.3420162731,49,0,0,0,0,0.05,0.05,-0.73,0.05,-0.02,-1.01,0.2,-1.5,-0.8,-2
0.2000,41688.3420163194,50,0,0,0,0,0.00,-0.05,-0.73,0.05,-0.02,-1.01,-0.2,-1.9,-0.6,-5
0.2040,41688.3420163657,51,0,0,0,0,-0.05,0.00,-0.83,0.05,-0.02,-1.00,-0.1,-2.0,0.1,-18
0.2080,41688.342016412,52,0,0,0,0,0.05,0.05,-0.83,0.04,-0.01,-1.02,0.0,-1.7,-0.6,-17
0.2120,41688.3420164583,53,0,0,0,0,0.00,-0.05,-0.78,0.04,-0.02,-1.01,0.2,-2.0,-0.9,-5
0.2160,41688.3420165046,54,0,0,0,0,0.05,0.05,-0.78,0.05,-0.02,-1.01,-0.3,-1.5,-0.3,0
0.2200,41688.3420165509,55,0,0,0,0,0.10,0.00,-0.78,0.06,-0.01,-1.02,-0.5,-1.8,-0.4,-17
0.2240,41688.3420165972,56,0,0,0,0,0.05,-0.10,-0.78,0.04,-0.01,-1.00,0.1,-1.9,-0.7,-16
0.2280,41688.3420166435,57,0,0,0,0,0.05,0.05,-0.93,0.04,-0.02,-1.00,-0.4,-1.9,-0.8,-10
