' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.0295,44723.75968,59,-1.02,0.15,0.1,-1,0,0.02,-0.9,-1.7,0.6
0.03,44723.75968,60,-0.93,-0.15,0.1,-0.99,0.01,0.02,0.4,0.9,-0.6
0.0305,44723.75968,61,-1.12,-0.15,-0.1,-1,0.01,0.03,0.2,-2.2,2.2
0.031,44723.75968,62,-0.73,-0.05,0.1,-0.99,0.01,0.02,2.2,-0.7,0.2
0.0315,44723.75968,63,-1.02,0.24,-0.1,-1,0,0.04,-0.6,1.3,2.4
0.032,44723.75968,64,-1.12,0.05,-0.1,-1,0.02,0.04,-0.2,-1.5,0.5
0.0325,44723.75968,65,-1.12,-0.15,0,-0.99,0.01,0.02,0.7,-2.1,-1.8
0.033,44723.75968,66,-0.83,-0.05,-0.1,-0.99,0.01,0.01,0.4,-3.7,-0.9
0.0335,44723.75968,67,-0.93,-0.05,0.1,-0.99,-0.01,0.03,1.1,2.4,2.9
0.034,44723.75968,68,-1.02,0.15,0,-0.99,0.01,0.04,2,-1.6,2
0.0345,44723.75968,69,-1.02,-0.05,0.29,-1.01,0,0.03,-1.8,3.5,-0.7
0.035,44723.75968,70,-1.02,0.15,0.1,-1.01,-0.01,0.03,-2.1,-0.4,-0.2
0.0355,44723.75968,71,-1.02,-0.15,0,-1.01,-0.02,0.03,-1.8,-0.5,-1.1
0.036,44723.75968,72,-0.93,0.15,0,-1,-0.01,0.02,-0.9,2,-1.5
0.0365,44723.75968,73,-1.12,0.15,0.1,-1.01,-0.01,0.03,0.9,-0.2,-0.9
0.037,44723.75968,74,-1.02,-0.24,0.29,-1.01,0,0.03,-1.2,-1,2
0.0375,44723.75968,75,-0.93,-0.05,0,-0.99,0.01,0.03,-0.1,0.6,-1.6
0.038,44723.75968,76,-1.12,0.05,0,-0.99,0.01,0.04,-0.1,-0.6,-2.4
0.0385,44723.75968,77,-1.22,-0.34,0.1,-1.01,0,0.04,-0.2,-0.1,1.8
0.039,44723.75968,78,-0.93,-0.05,0,-1.02,0,0.03,1.3,2.9,-1.6
0.0395,44723.75968,79,-1.02,0.15,0.29,-1.01,0,0.03,2.6,1.6,-1.5
0.04,44723.75968,80,-1.12,-0.05,0.2,-1.01,0,0.04,-0.1,0.6,0
0.0405,44723.75968,81,-1.22,-0.05,0.1,-1,0,0.03,-0.6,1,-0.1
0.041,44723.75968,82,-1.12,-0.15,0.1,-1,-0.02,0.03,-2.4,-1.3,0.7
0.0415,44723.75968,83,-1.22,-0.05,0.1,-0.99,-0.01,0.02,0.9,-0.1,0.4
0.042,44723.75968,84,-0.93,0.34,0,-0.99,0,0.03,-0.4,-0.1,-0.1
0.0425,44723.75968,85,-0.83,0.24,0,-1,0.02,0.02,0.7,2.4,-2.8
0.043,44723.75968,86,-0.93,-0.05,0.1,-1,0,0.02,0.7,-1.2,0.6
0.0435,44723.75968,87,-1.12,0.05,0.2,-1.01,0,0.04,0,-1.1,2.7
0.044,44723.75968,88,-1.02,0.05,0,-1.01,0,0.03,1.2,1.1,1.2
0.0445,44723.75968,89,-0.93,-0.15,0,-1.01,0.01,0.03,-0.6,-0.7,1.7
0.045,44723.75968,90,-0.83,-0.05,0,-0.99,0,0.04,-1,-0.5,-1.2
0.0455,44723.75968,91,-0.83,-0.05,-0.29,-1,0,0.03,-1.1,0.4,0.9
0.046,44723.75968,92,-0.83,0.05,0.2,-1,0,0.02,1.1,0.7,-0.2
0.0465,44723.75968,93,-1.12,-0.24,-0.1,-1,-0.01,0.03,-1.7,1.6,-0.1
0.047,44723.75968,94,-0.83,0.15,-0.1,-1,-0.01,0.01,-0.7,0.9,-1.8
0.0475,44723.75968,95,-1.32,0.05,0,-1.01,-0.01,0.02,0.5,2.4,-1.1
0.048,44723.75968,96,-0.83,0.15,0.2,-1.01,0,0.04,-0.2,-0.4,1.3
0.0485,44723.75968,97,-1.32,-0.24,0.2,-1.02,-0.01,0.04,-1.1,0.9,1.8
0.049,44723.75968,98,-1.02,-0.24,0.29,-1,0,0.03,0.2,-1.3,-0.2
0.0495,44723.75968,99,-0.93,0.15,-0.1,-0.99,0,0.03,0.2,1.1,1.5
0.05,44723.75968,100,-0.83,0.24,-0.2,-0.99,0,0.04,-0.4,-1,-0.6
0.0505,44723.75968,101,-0.93,-0.05,0.39,-1,0,0.04,0.9,1.8,0.1
0.051,44723.75968,102,-0.83,0.15,-0.29,-1.01,0,0.03,-2.6,-2.4,1.6
0.0515,44723.75968,103,-0.93,-0.15,0.29,-0.99,-0.01,0.04,0.5,2.7,0
0.052,44723.75968,104,-1.12,0.15,-0.1,-1,0,0.03,0,-0.1,0
0.0525,44723.75968,105,-1.12,-0.05,-0.1,-1,-0.01,0.02,0.7,0.1,-2.4
0.053,44723.75968,106,-0.73,-0.15,0,-1,0,0.03,-1.2,1.8,-0.2
0.0535,44723.75968,107,-0.93,0.15,-0.1,-1.01,0,0.03,1.1,2.6,-1.1
0.054,44723.75968,108,-0.73,0.24,-0.1,-1.01,0,0.04,-0.5,2.1,-0.7
0.0545,44723.75968,109,-1.02,-0.15,0.1,-1,0.01,0.04,-1.7,0.4,-0.9
0.055,44723.75968,110,-1.22,-0.15,0.2,-1.01,0,0.04,1.8,-0.5,-0.4
0.0555,44723.75968,111,-0.93,0.05,0.1,-1.01,-0.01,0.03,-0.9,-2.3,1.1
0.056,44723.75968,112,-0.93,-0.24,-0.1,-1.01,0,0.02,0.5,-0.5,1.3
0.0565,44723.75968,113,-0.73,-0.05,0,-1,0,0.03,2.6,-0.6,0.2
0.057,44723.75968,114,-0.93,0.24,0,-1,0,0.01,-1.7,-0.1,-1.6
0.0575,44723.75968,115,-0.93,-0.24,0.29,-0.99,-0.01,0.02,-0.1,0,-1.3
0.058,44723.75968,116,-1.12,-0.05,0,-0.99,0.01,0.02,0.5,0.4,-0.5
0.0585,44723.75968,117,-0.73,0.15,0,-1.01,0,0.03,0.5,-0.6,3.9
0.059,44723.75968,118,-0.93,0.05,-0.2,-1,0,0.03,2.6,-0.1,0.2
0.0595,44723.75968,119,-0.73,0.15,0,-1.01,-0.01,0.03,0.2,0.6,-0.6
0.06,44723.75968,120,-0.93,0.15,0.2,-0.99,0,0.03,1,0.2,-2
0.0605,44723.75968,121,-0.83,0.05,0.2,-0.99,-0.01,0.04,0.6,-2.3,0
0.061,44723.75968,122,-0.93,-0.05,0.2,-1,-0.01,0.04,-0.4,0.2,1
0.0615,44723.75968,123,-1.02,0.05,-0.2,-1,0,0.03,-2.8,-0.5,0.5
0.062,44723.75968,124,-0.93,-0.05,0.39,-1.01,0,0.04,-2.2,-0.4,0.2
0.0625,44723.75968,125,-0.93,-0.05,0.1,-1,-0.01,0.04,1.2,-1.1,-0.9
0.063,44723.75968,126,-1.02,-0.05,0.1,-1.01,0,0.03,0.1,0.6,-0.2
0.0635,44723.75968,127,-0.93,0.15,0.1,-0.98,-0.01,0.03,-2.4,0.1,-1.1
0.064,44723.75968,128,-0.93,-0.05,0,-1,0,0.02,1.7,1.8,1
0.0645,44723.75968,129,-1.12,0.15,0.1,-1.01,0.01,0.03,2,0.5,-0.2
0.065,44723.75968,130,-1.12,0.15,0,-1,0,0.03,3.5,-3.3,-0.7
0.0655,44723.75968,131,-1.02,0.15,-0.1,-1,0,0.01,1.5,1.5,0.5
0.066,44723.75968,132,-0.93,0.05,0.1,-1.01,0,0.04,0.5,-0.9,0.2
0.0665,44723.75968,133,-0.54,0.15,-0.1,-1,0.02,0.04,-1.1,0,0.9
0.067,44723.75968,134,-0.93,0.05,-0.1,-1.01,0.02,0.03,-2.8,1.7,-1.6
0.0675,44723.75968,135,-0.93,-0.05,-0.29,-1.01,0.02,0.03,-0.6,0.6,-1.3
0.068,44723.75968,136,-0.93,0.05,0.1,-1,0,0.01,0.4,0,-2.6
0.0685,44723.75968,137,-0.93,-0.05,-0.1,-1.02,-0.01,0.04,-1.6,-0.2,-2
0.069,44723.75968,138,-0.93,-0.05,0,-1,0,0.03,-1.2,0.4,-2.3
0.0695,44723.75968,139,-1.02,0.05,-0.1,-1.01,0.01,0.02,-1.3,0.9,-0.2
0.07,44723.75968,140,-0.93,0.15,0,-1,0,0.02,-3.3,1.1,-1.6
0.0705,44723.75968,141,-1.12,0.05,-0.1,-1.01,-0.01,0.01,0.4,-1.6,2.2
0.071,44723.75968,142,-0.93,-0.05,0.2,-1,0,0.04,1.2,1.3,-0.5
0.0715,44723.75968,143,-1.02,-0.05,0,-0.99,0,0.02,-1.3,1,0.5
0.072,44723.75968,144,-0.73,0.15,-0.1,-1,0,0.03,1.1,0.1,-0.1
0.0725,44723.75968,145,-1.12,0.15,0.2,-1,0,0.03,0.1,2.2,-1.3
0.073,44723.75968,146,-1.12,-0.05,0.1,-1.01,-0.02,0.03,0.7,0,0.5
0.0735,44723.75968,147,-1.22,-0.05,0.1,-1.01,0.01,0.02,0.9,-1.5,1.1
0.074,44723.75968,148,-1.02,0.05,0.1,-1,0,0.04,-1.6,-2.9,-0.4
